run_number,model_name,metric,class,value
2,Fine-tuned distil-mBERT,precision,positive,0.7649
2,Base RuBERT,precision,positive,0.6689
2,Fine-tuned RuBERT,precision,positive,0.7727
2,Base mBERT,precision,positive,0.7116
2,Fine-tuned mBERT,precision,positive,0.7206
2,Base distil-mBERT,precision,macro avg,0.7673
2,Fine-tuned distil-mBERT,precision,macro avg,0.7935
2,Base RuBERT,precision,macro avg,0.704
2,Fine-tuned RuBERT,precision,macro avg,0.7988
2,Base mBERT,precision,macro avg,0.7452
2,Fine-tuned mBERT,precision,macro avg,0.7582
2,Base distil-mBERT,precision,weighted avg,0.8237
2,Fine-tuned distil-mBERT,precision,weighted avg,0.8467
2,Base RuBERT,precision,weighted avg,0.7847
2,Fine-tuned RuBERT,precision,weighted avg,0.8397
2,Base mBERT,precision,weighted avg,0.815
2,Fine-tuned mBERT,precision,weighted avg,0.8223
2,Base distil-mBERT,recall,negative,0.8442
2,Fine-tuned distil-mBERT,recall,negative,0.8693
2,Base RuBERT,recall,negative,0.6834
2,Fine-tuned RuBERT,recall,negative,0.8593
2,Base mBERT,recall,negative,0.7839
2,Fine-tuned mBERT,recall,negative,0.8543
2,Base distil-mBERT,recall,neutral,0.8604
2,Fine-tuned distil-mBERT,recall,neutral,0.8604
2,Base RuBERT,recall,neutral,0.8243
2,Fine-tuned RuBERT,recall,neutral,0.8571
2,Base mBERT,recall,neutral,0.8703
2,Fine-tuned mBERT,recall,neutral,0.8473
2,Base distil-mBERT,recall,positive,0.6759
2,Fine-tuned distil-mBERT,recall,positive,0.7517
2,Base RuBERT,recall,positive,0.6759
2,Fine-tuned RuBERT,recall,positive,0.7621
2,Base mBERT,recall,positive,0.6552
2,Fine-tuned mBERT,recall,positive,0.6759
2,Base distil-mBERT,recall,macro avg,0.7935
2,Fine-tuned distil-mBERT,recall,macro avg,0.8272
2,Base RuBERT,recall,macro avg,0.7279
2,Fine-tuned RuBERT,recall,macro avg,0.8262
2,Base mBERT,recall,macro avg,0.7698
2,Fine-tuned mBERT,recall,macro avg,0.7925
2,Base distil-mBERT,recall,weighted avg,0.8087
2,Fine-tuned distil-mBERT,recall,weighted avg,0.8333
2,Base RuBERT,recall,weighted avg,0.7596
2,Fine-tuned RuBERT,recall,weighted avg,0.8324
2,Base mBERT,recall,weighted avg,0.7978
2,Fine-tuned mBERT,recall,weighted avg,0.8033
2,Base distil-mBERT,f1-score,negative,0.7149
2,Fine-tuned distil-mBERT,f1-score,negative,0.7588
2,Base RuBERT,f1-score,negative,0.5875
2,Fine-tuned RuBERT,f1-score,negative,0.7773
2,Base mBERT,f1-score,negative,0.6695
2,Fine-tuned mBERT,f1-score,negative,0.7158
2,Base distil-mBERT,f1-score,neutral,0.8889
2,Fine-tuned distil-mBERT,f1-score,neutral,0.8996
2,Base RuBERT,f1-score,neutral,0.873
2,Fine-tuned RuBERT,f1-score,neutral,0.8847
2,Base mBERT,f1-score,neutral,0.9037
2,Fine-tuned mBERT,f1-score,neutral,0.8904
