run_number,model_name,metric,class,value
6,Fine-tuned distil-mBERT,f1-score,neutral,0.8922
6,Base RuBERT,f1-score,neutral,0.8567
6,Fine-tuned RuBERT,f1-score,neutral,0.873
6,Base mBERT,f1-score,neutral,0.8851
6,Fine-tuned mBERT,f1-score,neutral,0.885
6,Base distil-mBERT,f1-score,positive,0.7551
6,Fine-tuned distil-mBERT,f1-score,positive,0.7664
6,Base RuBERT,f1-score,positive,0.5949
6,Fine-tuned RuBERT,f1-score,positive,0.7452
6,Base mBERT,f1-score,positive,0.6798
6,Fine-tuned mBERT,f1-score,positive,0.6966
6,Base distil-mBERT,f1-score,macro avg,0.7961
6,Fine-tuned distil-mBERT,f1-score,macro avg,0.813
6,Base RuBERT,f1-score,macro avg,0.6971
6,Fine-tuned RuBERT,f1-score,macro avg,0.7905
6,Base mBERT,f1-score,macro avg,0.754
6,Fine-tuned mBERT,f1-score,macro avg,0.7636
6,Base distil-mBERT,f1-score,weighted avg,0.8296
6,Fine-tuned distil-mBERT,f1-score,weighted avg,0.8388
6,Base RuBERT,f1-score,weighted avg,0.7482
6,Fine-tuned RuBERT,f1-score,weighted avg,0.8175
6,Base mBERT,f1-score,weighted avg,0.7968
6,Fine-tuned mBERT,f1-score,weighted avg,0.8034
6,Base distil-mBERT,accuracy,,0.8279
6,Fine-tuned distil-mBERT,accuracy,,0.8379
6,Base RuBERT,accuracy,,0.745
6,Fine-tuned RuBERT,accuracy,,0.8151
6,Base mBERT,accuracy,,0.7933
6,Fine-tuned mBERT,accuracy,,0.8015
7,Base distil-mBERT,precision,negative,0.6626
7,Fine-tuned distil-mBERT,precision,negative,0.6615
7,Base RuBERT,precision,negative,0.5609
7,Fine-tuned RuBERT,precision,negative,0.6667
7,Base mBERT,precision,negative,0.5587
7,Fine-tuned mBERT,precision,negative,0.6767
7,Base distil-mBERT,precision,neutral,0.9134
7,Fine-tuned distil-mBERT,precision,neutral,0.9346
7,Base RuBERT,precision,neutral,0.8706
7,Fine-tuned RuBERT,precision,neutral,0.9266
7,Base mBERT,precision,neutral,0.8899
7,Fine-tuned mBERT,precision,neutral,0.9525
7,Base distil-mBERT,precision,positive,0.7243
7,Fine-tuned distil-mBERT,precision,positive,0.7426
7,Base RuBERT,precision,positive,0.5845
7,Fine-tuned RuBERT,precision,positive,0.7296
7,Base mBERT,precision,positive,0.616
7,Fine-tuned mBERT,precision,positive,0.8035
7,Base distil-mBERT,precision,macro avg,0.7667
7,Fine-tuned distil-mBERT,precision,macro avg,0.7796
7,Base RuBERT,precision,macro avg,0.672
7,Fine-tuned RuBERT,precision,macro avg,0.7743
7,Base mBERT,precision,macro avg,0.6882
7,Fine-tuned mBERT,precision,macro avg,0.8109
7,Base distil-mBERT,precision,weighted avg,0.818
7,Fine-tuned distil-mBERT,precision,weighted avg,0.8344
7,Base RuBERT,precision,weighted avg,0.7389
7,Fine-tuned RuBERT,precision,weighted avg,0.8275
7,Base mBERT,precision,weighted avg,0.7575
7,Fine-tuned mBERT,precision,weighted avg,0.8631
7,Base distil-mBERT,recall,negative,0.809
7,Fine-tuned distil-mBERT,recall,negative,0.8643
7,Base RuBERT,recall,negative,0.6482
7,Fine-tuned RuBERT,recall,negative,0.8241
7,Base mBERT,recall,negative,0.7889
7,Fine-tuned mBERT,recall,negative,0.9045
7,Base distil-mBERT,recall,neutral,0.8309
7,Fine-tuned distil-mBERT,recall,neutral,0.821
7,Base RuBERT,recall,neutral,0.8177
7,Fine-tuned RuBERT,recall,neutral,0.8292
7,Base mBERT,recall,neutral,0.8095
7,Fine-tuned mBERT,recall,neutral,0.8555
7,Base distil-mBERT,recall,positive,0.7517
7,Fine-tuned distil-mBERT,recall,positive,0.7759
7,Base RuBERT,recall,positive,0.5966
7,Fine-tuned RuBERT,recall,positive,0.7724
7,Base mBERT,recall,positive,0.5586
7,Fine-tuned mBERT,recall,positive,0.7897
7,Base distil-mBERT,recall,macro avg,0.7972
7,Fine-tuned distil-mBERT,recall,macro avg,0.8204
7,Base RuBERT,recall,macro avg,0.6875
7,Fine-tuned RuBERT,recall,macro avg,0.8086
7,Base mBERT,recall,macro avg,0.719
7,Fine-tuned mBERT,recall,macro avg,0.8499
7,Base distil-mBERT,recall,weighted avg,0.806
7,Fine-tuned distil-mBERT,recall,weighted avg,0.8169
7,Base RuBERT,recall,weighted avg,0.7286
7,Fine-tuned RuBERT,recall,weighted avg,0.8133
7,Base mBERT,recall,weighted avg,0.7395
7,Fine-tuned mBERT,recall,weighted avg,0.847
7,Base distil-mBERT,f1-score,negative,0.7285
7,Fine-tuned distil-mBERT,f1-score,negative,0.7495
7,Base RuBERT,f1-score,negative,0.6014
7,Fine-tuned RuBERT,f1-score,negative,0.7371
7,Base mBERT,f1-score,negative,0.6542
7,Fine-tuned mBERT,f1-score,negative,0.7742
7,Base distil-mBERT,f1-score,neutral,0.8702
7,Fine-tuned distil-mBERT,f1-score,neutral,0.8741
7,Base RuBERT,f1-score,neutral,0.8434
7,Fine-tuned RuBERT,f1-score,neutral,0.8752
7,Base mBERT,f1-score,neutral,0.8478
7,Fine-tuned mBERT,f1-score,neutral,0.9014
7,Base distil-mBERT,f1-score,positive,0.7377
7,Fine-tuned distil-mBERT,f1-score,positive,0.7589
7,Base RuBERT,f1-score,positive,0.5904
7,Fine-tuned RuBERT,f1-score,positive,0.7504
7,Base mBERT,f1-score,positive,0.5859
7,Fine-tuned mBERT,f1-score,positive,0.7965
7,Base distil-mBERT,f1-score,macro avg,0.7788
7,Fine-tuned distil-mBERT,f1-score,macro avg,0.7941
7,Base RuBERT,f1-score,macro avg,0.6784
7,Fine-tuned RuBERT,f1-score,macro avg,0.7876
7,Base mBERT,f1-score,macro avg,0.696
7,Fine-tuned mBERT,f1-score,macro avg,0.824
7,Base distil-mBERT,f1-score,weighted avg,0.8095
7,Fine-tuned distil-mBERT,f1-score,weighted avg,0.8211
7,Base RuBERT,f1-score,weighted avg,0.7327
7,Fine-tuned RuBERT,f1-score,weighted avg,0.8172
7,Base mBERT,f1-score,weighted avg,0.7435
7,Fine-tuned mBERT,f1-score,weighted avg,0.8506
7,Base distil-mBERT,accuracy,,0.806
7,Fine-tuned distil-mBERT,accuracy,,0.8169
7,Base RuBERT,accuracy,,0.7286
7,Fine-tuned RuBERT,accuracy,,0.8133
7,Base mBERT,accuracy,,0.7395
7,Fine-tuned mBERT,accuracy,,0.847
8,Base distil-mBERT,precision,negative,0.6872
8,Fine-tuned distil-mBERT,precision,negative,0.6466
8,Base RuBERT,precision,negative,0.5214
8,Fine-tuned RuBERT,precision,negative,0.6706
8,Base mBERT,precision,negative,0.5833
8,Fine-tuned mBERT,precision,negative,0.7033
8,Base distil-mBERT,precision,neutral,0.9139
8,Fine-tuned distil-mBERT,precision,neutral,0.9267
8,Base RuBERT,precision,neutral,0.8953
8,Fine-tuned RuBERT,precision,neutral,0.9179
8,Base mBERT,precision,neutral,0.9071
8,Fine-tuned mBERT,precision,neutral,0.9224
8,Base distil-mBERT,precision,positive,0.745
8,Fine-tuned distil-mBERT,precision,positive,0.7261
8,Base RuBERT,precision,positive,0.6612
8,Fine-tuned RuBERT,precision,positive,0.7845
8,Base mBERT,precision,positive,0.6935
8,Fine-tuned mBERT,precision,positive,0.7965
8,Base distil-mBERT,precision,macro avg,0.782
8,Fine-tuned distil-mBERT,precision,macro avg,0.7665
8,Base RuBERT,precision,macro avg,0.6926
8,Fine-tuned RuBERT,precision,macro avg,0.791
8,Base mBERT,precision,macro avg,0.728
8,Fine-tuned mBERT,precision,macro avg,0.8074
8,Base distil-mBERT,precision,weighted avg,0.8282
8,Fine-tuned distil-mBERT,precision,weighted avg,0.823
8,Base RuBERT,precision,weighted avg,0.7657
8,Fine-tuned RuBERT,precision,weighted avg,0.8378
8,Base mBERT,precision,weighted avg,0.792
8,Fine-tuned mBERT,precision,weighted avg,0.8494
8,Base distil-mBERT,recall,negative,0.7839
8,Fine-tuned distil-mBERT,recall,negative,0.809
8,Base RuBERT,recall,negative,0.7337
8,Fine-tuned RuBERT,recall,negative,0.8593
8,Base mBERT,recall,negative,0.8442
8,Fine-tuned mBERT,recall,negative,0.8693
8,Base distil-mBERT,recall,neutral,0.8539
8,Fine-tuned distil-mBERT,recall,neutral,0.8309
8,Base RuBERT,recall,neutral,0.8424
8,Fine-tuned RuBERT,recall,neutral,0.844
8,Base mBERT,recall,neutral,0.8177
8,Fine-tuned mBERT,recall,neutral,0.8588
8,Base distil-mBERT,recall,positive,0.7759
8,Fine-tuned distil-mBERT,recall,positive,0.7586
8,Base RuBERT,recall,positive,0.5586
8,Fine-tuned RuBERT,recall,positive,0.7655
8,Base mBERT,recall,positive,0.6241
8,Fine-tuned mBERT,recall,positive,0.7828
8,Base distil-mBERT,recall,macro avg,0.8045
8,Fine-tuned distil-mBERT,recall,macro avg,0.7995
8,Base RuBERT,recall,macro avg,0.7116
8,Fine-tuned RuBERT,recall,macro avg,0.8229
8,Base mBERT,recall,macro avg,0.762
8,Fine-tuned mBERT,recall,macro avg,0.837
8,Base distil-mBERT,recall,weighted avg,0.8206
8,Fine-tuned distil-mBERT,recall,weighted avg,0.8078
8,Base RuBERT,recall,weighted avg,0.7477
8,Fine-tuned RuBERT,recall,weighted avg,0.826
8,Base mBERT,recall,weighted avg,0.7714
8,Fine-tuned mBERT,recall,weighted avg,0.8406
8,Base distil-mBERT,f1-score,negative,0.7324
8,Fine-tuned distil-mBERT,f1-score,negative,0.7188
8,Base RuBERT,f1-score,negative,0.6096
8,Fine-tuned RuBERT,f1-score,negative,0.7533
8,Base mBERT,f1-score,negative,0.6899
8,Fine-tuned mBERT,f1-score,negative,0.7775
8,Base distil-mBERT,f1-score,neutral,0.8829
8,Fine-tuned distil-mBERT,f1-score,neutral,0.8762
8,Base RuBERT,f1-score,neutral,0.868
8,Fine-tuned RuBERT,f1-score,neutral,0.8794
8,Base mBERT,f1-score,neutral,0.8601
8,Fine-tuned mBERT,f1-score,neutral,0.8895
8,Base distil-mBERT,f1-score,positive,0.7601
8,Fine-tuned distil-mBERT,f1-score,positive,0.742
8,Base RuBERT,f1-score,positive,0.6056
8,Fine-tuned RuBERT,f1-score,positive,0.7749
8,Base mBERT,f1-score,positive,0.657
8,Fine-tuned mBERT,f1-score,positive,0.7896
8,Base distil-mBERT,f1-score,macro avg,0.7918
8,Fine-tuned distil-mBERT,f1-score,macro avg,0.779
8,Base RuBERT,f1-score,macro avg,0.6944
8,Fine-tuned RuBERT,f1-score,macro avg,0.8025
8,Base mBERT,f1-score,macro avg,0.7357
8,Fine-tuned mBERT,f1-score,macro avg,0.8188
8,Base distil-mBERT,f1-score,weighted avg,0.8232
8,Fine-tuned distil-mBERT,f1-score,weighted avg,0.8122
8,Base RuBERT,f1-score,weighted avg,0.7519
8,Fine-tuned RuBERT,f1-score,weighted avg,0.8289
8,Base mBERT,f1-score,weighted avg,0.7756
8,Fine-tuned mBERT,f1-score,weighted avg,0.8428
8,Base distil-mBERT,accuracy,,0.8206
8,Fine-tuned distil-mBERT,accuracy,,0.8078
8,Base RuBERT,accuracy,,0.7477
8,Fine-tuned RuBERT,accuracy,,0.826
8,Base mBERT,accuracy,,0.7714
8,Fine-tuned mBERT,accuracy,,0.8406
9,Base distil-mBERT,precision,negative,0.6198
9,Fine-tuned distil-mBERT,precision,negative,0.6304
9,Base RuBERT,precision,negative,0.5073
9,Fine-tuned RuBERT,precision,negative,0.6705
9,Base mBERT,precision,negative,0.6014
9,Fine-tuned mBERT,precision,negative,0.7042
9,Base distil-mBERT,precision,neutral,0.9229
9,Fine-tuned distil-mBERT,precision,neutral,0.944
9,Base RuBERT,precision,neutral,0.9023
9,Fine-tuned RuBERT,precision,neutral,0.9146
9,Base mBERT,precision,neutral,0.9225
9,Fine-tuned mBERT,precision,neutral,0.9413
9,Base distil-mBERT,precision,positive,0.7803
9,Fine-tuned distil-mBERT,precision,positive,0.7596
9,Base RuBERT,precision,positive,0.6056
9,Fine-tuned RuBERT,precision,positive,0.8045
9,Base mBERT,precision,positive,0.7531
9,Fine-tuned mBERT,precision,positive,0.8007
9,Base distil-mBERT,precision,macro avg,0.7743
9,Fine-tuned distil-mBERT,precision,macro avg,0.778
9,Base RuBERT,precision,macro avg,0.6717
9,Fine-tuned RuBERT,precision,macro avg,0.7966
9,Base mBERT,precision,macro avg,0.759
9,Fine-tuned mBERT,precision,macro avg,0.8154
9,Base distil-mBERT,precision,weighted avg,0.8303
9,Fine-tuned distil-mBERT,precision,weighted avg,0.8385
9,Base RuBERT,precision,weighted avg,0.7523
9,Fine-tuned RuBERT,precision,weighted avg,0.8413
9,Base mBERT,precision,weighted avg,0.8196
9,Fine-tuned mBERT,precision,weighted avg,0.8612
9,Base distil-mBERT,recall,negative,0.8191
9,Fine-tuned distil-mBERT,recall,negative,0.8141
9,Base RuBERT,recall,negative,0.6985
9,Fine-tuned RuBERT,recall,negative,0.8693
9,Base mBERT,recall,negative,0.8794
9,Fine-tuned mBERT,recall,negative,0.8492
9,Base distil-mBERT,recall,neutral,0.8654
9,Fine-tuned distil-mBERT,recall,neutral,0.8588
9,Base RuBERT,recall,neutral,0.8489
9,Fine-tuned RuBERT,recall,neutral,0.8621
9,Base mBERT,recall,neutral,0.8604
9,Fine-tuned mBERT,recall,neutral,0.8686
9,Base distil-mBERT,recall,positive,0.7103
9,Fine-tuned distil-mBERT,recall,positive,0.7517
9,Base RuBERT,recall,positive,0.5241
9,Fine-tuned RuBERT,recall,positive,0.7379
9,Base mBERT,recall,positive,0.6207
9,Fine-tuned mBERT,recall,positive,0.8172
9,Base distil-mBERT,recall,macro avg,0.7983
9,Fine-tuned distil-mBERT,recall,macro avg,0.8082
9,Base RuBERT,recall,macro avg,0.6905
9,Fine-tuned RuBERT,recall,macro avg,0.8231
9,Base mBERT,recall,macro avg,0.7868
9,Fine-tuned mBERT,recall,macro avg,0.845
9,Base distil-mBERT,recall,weighted avg,0.816
9,Fine-tuned distil-mBERT,recall,weighted avg,0.8224
9,Base RuBERT,recall,weighted avg,0.7359
9,Fine-tuned RuBERT,recall,weighted avg,0.8306
9,Base mBERT,recall,weighted avg,0.8005
9,Fine-tuned mBERT,recall,weighted avg,0.8515
9,Base distil-mBERT,f1-score,negative,0.7056
9,Fine-tuned distil-mBERT,f1-score,negative,0.7105
9,Base RuBERT,f1-score,negative,0.5877
9,Fine-tuned RuBERT,f1-score,negative,0.7571
9,Base mBERT,f1-score,negative,0.7143
9,Fine-tuned mBERT,f1-score,negative,0.7699
9,Base distil-mBERT,f1-score,neutral,0.8932
9,Fine-tuned distil-mBERT,f1-score,neutral,0.8994
9,Base RuBERT,f1-score,neutral,0.8748
9,Fine-tuned RuBERT,f1-score,neutral,0.8876
9,Base mBERT,f1-score,neutral,0.8904
9,Fine-tuned mBERT,f1-score,neutral,0.9035
9,Base distil-mBERT,f1-score,positive,0.7437
9,Fine-tuned distil-mBERT,f1-score,positive,0.7556
9,Base RuBERT,f1-score,positive,0.5619
9,Fine-tuned RuBERT,f1-score,positive,0.7698
9,Base mBERT,f1-score,positive,0.6805
9,Fine-tuned mBERT,f1-score,positive,0.8089
9,Base distil-mBERT,f1-score,macro avg,0.7808
9,Fine-tuned distil-mBERT,f1-score,macro avg,0.7885
9,Base RuBERT,f1-score,macro avg,0.6748
9,Fine-tuned RuBERT,f1-score,macro avg,0.8048
9,Base mBERT,f1-score,macro avg,0.7617
9,Fine-tuned mBERT,f1-score,macro avg,0.8274
9,Base distil-mBERT,f1-score,weighted avg,0.8197
9,Fine-tuned distil-mBERT,f1-score,weighted avg,0.8272
9,Base RuBERT,f1-score,weighted avg,0.7401
9,Fine-tuned RuBERT,f1-score,weighted avg,0.8328
9,Base mBERT,f1-score,weighted avg,0.8031
9,Fine-tuned mBERT,f1-score,weighted avg,0.8543
9,Base distil-mBERT,accuracy,,0.816
9,Fine-tuned distil-mBERT,accuracy,,0.8224
9,Base RuBERT,accuracy,,0.7359
9,Fine-tuned RuBERT,accuracy,,0.8306
9,Base mBERT,accuracy,,0.8005
9,Fine-tuned mBERT,accuracy,,0.8515
10,Base distil-mBERT,precision,negative,0.6557
10,Fine-tuned distil-mBERT,precision,negative,0.6577
10,Base RuBERT,precision,negative,0.4771
10,Fine-tuned RuBERT,precision,negative,0.7025
10,Base mBERT,precision,negative,0.5743
10,Fine-tuned mBERT,precision,negative,0.6885
10,Base distil-mBERT,precision,neutral,0.9241
10,Fine-tuned distil-mBERT,precision,neutral,0.9088
10,Base RuBERT,precision,neutral,0.9028
10,Fine-tuned RuBERT,precision,neutral,0.9195
10,Base mBERT,precision,neutral,0.9059
10,Fine-tuned mBERT,precision,neutral,0.9287
10,Base distil-mBERT,precision,positive,0.7375
10,Fine-tuned distil-mBERT,precision,positive,0.7599
10,Base RuBERT,precision,positive,0.6195
10,Fine-tuned RuBERT,precision,positive,0.7643
10,Base mBERT,precision,positive,0.7155
10,Fine-tuned mBERT,precision,positive,0.8159
10,Base distil-mBERT,precision,macro avg,0.7724
10,Fine-tuned distil-mBERT,precision,macro avg,0.7754
10,Base RuBERT,precision,macro avg,0.6665
10,Fine-tuned RuBERT,precision,macro avg,0.7954
10,Base mBERT,precision,macro avg,0.7319
10,Fine-tuned mBERT,precision,macro avg,0.811
10,Base distil-mBERT,precision,weighted avg,0.8262
10,Fine-tuned distil-mBERT,precision,weighted avg,0.8239
10,Base RuBERT,precision,weighted avg,0.7508
10,Fine-tuned RuBERT,precision,weighted avg,0.8392
10,Base mBERT,precision,weighted avg,0.7955
10,Fine-tuned mBERT,precision,weighted avg,0.8554
10,Base distil-mBERT,recall,negative,0.804
10,Fine-tuned distil-mBERT,recall,negative,0.8593
10,Base RuBERT,recall,negative,0.7337
10,Fine-tuned RuBERT,recall,negative,0.8543
10,Base mBERT,recall,negative,0.8543
10,Fine-tuned mBERT,recall,negative,0.8995
10,Base distil-mBERT,recall,neutral,0.8391
10,Fine-tuned distil-mBERT,recall,neutral,0.8342
10,Base RuBERT,recall,neutral,0.8391
10,Fine-tuned RuBERT,recall,neutral,0.844
10,Base mBERT,recall,neutral,0.8374
10,Fine-tuned mBERT,recall,neutral,0.8555
10,Base distil-mBERT,recall,positive,0.7655
10,Fine-tuned distil-mBERT,recall,positive,0.731
10,Base RuBERT,recall,positive,0.4828
10,Fine-tuned RuBERT,recall,positive,0.7828
10,Base mBERT,recall,positive,0.5897
10,Fine-tuned mBERT,recall,positive,0.7793
10,Base distil-mBERT,recall,macro avg,0.8029
10,Fine-tuned distil-mBERT,recall,macro avg,0.8082
10,Base RuBERT,recall,macro avg,0.6852
10,Fine-tuned RuBERT,recall,macro avg,0.827
10,Base mBERT,recall,macro avg,0.7605
10,Fine-tuned mBERT,recall,macro avg,0.8448
10,Base distil-mBERT,recall,weighted avg,0.8133
10,Fine-tuned distil-mBERT,recall,weighted avg,0.8115
10,Base RuBERT,recall,weighted avg,0.7259
10,Fine-tuned RuBERT,recall,weighted avg,0.8297
10,Base mBERT,recall,weighted avg,0.775
10,Fine-tuned mBERT,recall,weighted avg,0.8434
10,Base distil-mBERT,f1-score,negative,0.7223
10,Fine-tuned distil-mBERT,f1-score,negative,0.7451
10,Base RuBERT,f1-score,negative,0.5782
10,Fine-tuned RuBERT,f1-score,negative,0.771
10,Base mBERT,f1-score,negative,0.6869
10,Fine-tuned mBERT,f1-score,negative,0.78
10,Base distil-mBERT,f1-score,neutral,0.8795
10,Fine-tuned distil-mBERT,f1-score,neutral,0.8699
10,Base RuBERT,f1-score,neutral,0.8698
10,Fine-tuned RuBERT,f1-score,neutral,0.8801
10,Base mBERT,f1-score,neutral,0.8703
10,Fine-tuned mBERT,f1-score,neutral,0.8906
10,Base distil-mBERT,f1-score,positive,0.7513
10,Fine-tuned distil-mBERT,f1-score,positive,0.7452
10,Base RuBERT,f1-score,positive,0.5426
10,Fine-tuned RuBERT,f1-score,positive,0.7734
10,Base mBERT,f1-score,positive,0.6465
10,Fine-tuned mBERT,f1-score,positive,0.7972
10,Base distil-mBERT,f1-score,macro avg,0.7844
10,Fine-tuned distil-mBERT,f1-score,macro avg,0.7867
10,Base RuBERT,f1-score,macro avg,0.6635
10,Fine-tuned RuBERT,f1-score,macro avg,0.8082
10,Base mBERT,f1-score,macro avg,0.7346
10,Fine-tuned mBERT,f1-score,macro avg,0.8226
10,Base distil-mBERT,f1-score,weighted avg,0.8172
10,Fine-tuned distil-mBERT,f1-score,weighted avg,0.8143
10,Base RuBERT,f1-score,weighted avg,0.7305
10,Fine-tuned RuBERT,f1-score,weighted avg,0.8322
10,Base mBERT,f1-score,weighted avg,0.778
10,Fine-tuned mBERT,f1-score,weighted avg,0.8459
10,Base distil-mBERT,accuracy,,0.8133
10,Fine-tuned distil-mBERT,accuracy,,0.8115
10,Base RuBERT,accuracy,,0.7259
10,Fine-tuned RuBERT,accuracy,,0.8297
10,Base mBERT,accuracy,,0.775
10,Fine-tuned mBERT,accuracy,,0.8434
